Action,Total Requests,Failed Requests,Average Time (ms),Total Time (ms),Protocol
GetUsers,100,0,6.25,624.9829999999998,REST
GetSongs,100,0,14.086,1408.647,REST
GetPlaylists,100,0,9.699,969.919,REST
CreateUser,100,0,2.626,262.64499999999987,REST
CreateSong,100,0,2.212,221.186,REST
CreatePlaylist,100,0,2.245,224.53500000000005,REST
UpdateUser,100,0,2.189,218.906,REST
UpdateSong,100,0,2.11,211.016,REST
UpdatePlaylist,100,0,2.204,220.45,REST
DeleteUser,100,0,2.5,250.01600000000013,REST
DeleteSong,100,0,2.459,245.86900000000009,REST
DeletePlaylist,100,0,3.08,307.9800000000001,REST
GetUsers,100,0,2044.0074491500852,204400.74491500852,SOAP
GetSongs,100,0,2062.871532440185,206287.15324401853,SOAP
GetPlaylists,100,0,2070.470826625824,207047.0826625824,SOAP
CreateUser,100,0,2034.924783706665,203492.4783706665,SOAP
CreateSong,100,0,2034.9546098709104,203495.46098709104,SOAP
CreatePlaylist,100,0,2034.498405456543,203449.8405456543,SOAP
UpdateUser,100,0,2036.3480496406555,203634.80496406555,SOAP
UpdateSong,100,0,2034.0665698051453,203406.65698051453,SOAP
UpdatePlaylist,100,0,2037.3746752738955,203737.46752738956,SOAP
DeleteUser,100,0,2035.864460468292,203586.4460468292,SOAP
DeleteSong,100,0,2037.129023075104,203712.9023075104,SOAP
DeletePlaylist,100,0,2034.334545135498,203433.4545135498,SOAP
GetUsers,100,0,2.6940464973449707,269.40464973449707,gRPC
GetSongs,100,0,8.540475368499756,854.0475368499756,gRPC
GetPlaylists,100,0,4.446132183074951,444.6132183074951,gRPC
CreateUser,100,0,0.7929015159606934,79.29015159606934,gRPC
CreateSong,100,0,0.7080912590026855,70.80912590026855,gRPC
CreatePlaylist,100,0,0.5090475082397461,50.90475082397461,gRPC
UpdateUser,100,0,0.5991411209106445,59.91411209106445,gRPC
UpdateSong,100,0,0.5806660652160645,58.066606521606445,gRPC
UpdatePlaylist,100,0,0.4322290420532226,43.222904205322266,gRPC
DeleteUser,100,0,0.499420166015625,49.9420166015625,gRPC
DeleteSong,100,0,0.5414199829101562,54.141998291015625,gRPC
DeletePlaylist,100,0,0.480051040649414,48.005104064941406,gRPC
GetUsers,100,0,62.876,6287.606999999998,GraphQL
GetSongs,100,0,202.74,20274.017000000003,GraphQL
GetPlaylists,100,0,136.903,13690.291999999996,GraphQL
CreateUser,100,0,2.233,223.2690000000001,GraphQL
CreateSong,100,0,2.009,200.94699999999992,GraphQL
CreatePlaylist,100,0,2.513,251.33,GraphQL
UpdateUser,100,0,2.095,209.533,GraphQL
UpdateSong,100,0,2.101,210.051,GraphQL
UpdatePlaylist,100,0,2.13,212.9760000000001,GraphQL
DeleteUser,100,0,1.787,178.68499999999997,GraphQL
DeleteSong,100,0,1.757,175.67900000000006,GraphQL
DeletePlaylist,100,0,1.862,186.182,GraphQL
