Action,Total Requests,Failed Requests,Average Time (ms),Total Time (ms)
GetUsers,100,0,62.876,6287.606999999998
GetSongs,100,0,202.740,20274.017000000003
GetPlaylists,100,0,136.903,13690.291999999996
CreateUser,100,0,2.233,223.26900000000006
CreateSong,100,0,2.009,200.94699999999992
CreatePlaylist,100,0,2.513,251.32999999999996
UpdateUser,100,0,2.095,209.53300000000002
UpdateSong,100,0,2.101,210.05100000000002
UpdatePlaylist,100,0,2.130,212.9760000000001
DeleteUser,100,0,1.787,178.68499999999995
DeleteSong,100,0,1.757,175.67900000000006
DeletePlaylist,100,0,1.862,186.18200000000002
