Action,Total Requests,Failed Requests,Average Time (ms),Total Time (ms)
GetUsers,100,0,2.6940464973449707,269.40464973449707
GetSongs,100,0,8.540475368499756,854.0475368499756
GetPlaylists,100,0,4.446132183074951,444.6132183074951
CreateUser,100,0,0.7929015159606934,79.29015159606934
CreateSong,100,0,0.7080912590026855,70.80912590026855
CreatePlaylist,100,0,0.5090475082397461,50.90475082397461
UpdateUser,100,0,0.5991411209106445,59.91411209106445
UpdateSong,100,0,0.5806660652160645,58.066606521606445
UpdatePlaylist,100,0,0.43222904205322266,43.222904205322266
DeleteUser,100,0,0.499420166015625,49.9420166015625
DeleteSong,100,0,0.5414199829101562,54.141998291015625
DeletePlaylist,100,0,0.48005104064941406,48.005104064941406
