Action,Total Requests,Failed Requests,Average Time (ms),Total Time (ms)
GetUsers,100,0,6.250,624.9829999999998
GetSongs,100,0,14.086,1408.647
GetPlaylists,100,0,9.699,969.9190000000001
CreateUser,100,0,2.626,262.64499999999987
CreateSong,100,0,2.212,221.18599999999998
CreatePlaylist,100,0,2.245,224.53500000000003
UpdateUser,100,0,2.189,218.90599999999998
UpdateSong,100,0,2.110,211.01600000000002
UpdatePlaylist,100,0,2.204,220.44999999999996
DeleteUser,100,0,2.500,250.01600000000013
DeleteSong,100,0,2.459,245.86900000000006
DeletePlaylist,100,0,3.080,307.9800000000001
