Action,Total Requests,Failed Requests,Average Time (ms),Total Time (ms)
GetUsers,100,0,2044.0074491500854,204400.74491500854
GetSongs,100,0,2062.8715324401855,206287.15324401855
GetPlaylists,100,0,2070.470826625824,207047.0826625824
CreateUser,100,0,2034.924783706665,203492.4783706665
CreateSong,100,0,2034.9546098709106,203495.46098709106
CreatePlaylist,100,0,2034.498405456543,203449.8405456543
UpdateUser,100,0,2036.3480496406555,203634.80496406555
UpdateSong,100,0,2034.0665698051453,203406.65698051453
UpdatePlaylist,100,0,2037.3746752738953,203737.46752738953
DeleteUser,100,0,2035.8644604682922,203586.44604682922
DeleteSong,100,0,2037.1290230751038,203712.90230751038
DeletePlaylist,100,0,2034.334545135498,203433.4545135498
